;Class;Order;Family
denovo19735;Cyanobacteria;SubsectionI;FamilyI
denovo59780;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo149854;Actinobacteria;Frankiales;Sporichthyaceae
denovo65132;Actinobacteria;Frankiales;Sporichthyaceae
denovo90721;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo89517;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo49566;Cyanobacteria;SubsectionIII;FamilyI
denovo87869;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo87035;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo128697;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo110070;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo90712;Cyanobacteria;SubsectionIV;FamilyI
denovo97083;Chlorobia;Chlorobiales;OPB56
denovo28172;Cyanobacteria;SubsectionIII;FamilyI
denovo102297;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo63463;Cyanobacteria;SubsectionI;FamilyI
denovo88014;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo163582;OPB35 soil group;uncultured bacterium;0
denovo42987;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo99288;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo158141;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo105211;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo153726;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo6036;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo23904;Actinobacteria;Micrococcales;Microbacteriaceae
denovo26420;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo105225;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo67281;Spartobacteria;Chthoniobacterales;DA101 soil group
denovo34539;Actinobacteria;Frankiales;Sporichthyaceae
denovo99827;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo154854;Spartobacteria;Chthoniobacterales;Chthoniobacterales Incertae Sedis
denovo155990;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo67446;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo87166;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo97950;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo59173;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo16051;Cyanobacteria;SubsectionI;FamilyI
