OUT,Phylum,Order,Class,Family,Species
denovo59780,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Microcystis
denovo149854,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo65132,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo19735,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo49566,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo128697,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,
denovo90721,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo87035,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Candidatus Methylopumilus
denovo89517,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo110070,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo87869,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Candidatus Aquirestis
denovo28172,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo6036,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
denovo97083,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus
denovo88014,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
denovo153726,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
denovo99288,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo102297,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix
denovo42987,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,
denovo105211,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
