OUT,Fucoxanthin ,Dinoxanthin ,Diatoxanthin ,Zeaxanthin,Lutein ,Chl_b,Chl_a ,b_caroten ,Ammonia_ug_L,NO3_NO2,TP_ug_L,Temp,MC_ug_ml,pH,Fish_biomass,Food
Res.3Jan.,0.001318162,0,0,0,0.000275831,0,0.005042981,0,NA,NA,NA,8.3,3.86E-05,8.02,0,0
Res.3Feb.,0.000550626,0,0,0,0.000438553,0.000498313,0.004802633,0,112.874,4298.7,17.717,14.2,5.66E-05,7.92,0,0
Res.3Mar.,0.036383567,0,0,0,0.002775746,0.005940875,0.041136337,0.00159573,10.775,2978.7,1.816,16.3,0.001599604,8.37,0,0
Res.3Apr.,0.02408538,0,0,0,0.002778319,0.006512383,0.064076995,0.001000491,43.09,1260.6,3.62,16.5,0.006144191,8.08,0,0
Res.3May.,0.015620604,0,0,0.001659591,0.00230276,0,0.047092,0.000711502,9.96,649.94,2.829,26.5,0.002537004,8.07,0,0
Res.3Jun.,0.026715476,0.001036306,0,0.001999261,0.001494632,0,0.044644347,0.000595941,8.185,762.85,2.254,28.5,0.01043504,7.83,0,0
Res.3Jul.,0.00307693,0,0.001897556,0.003840079,0.001457045,0,0.059244565,0.002401656,6.548,1246.5,1.601,31.3,0.344897941,7.48,0,0
Res.3Aug.,0.011821513,0.000868196,0.001028839,0.002759998,0.001451328,0.00364386,0.049493085,0.000880345,5.648,1777.8,3.294,30,NA,7.63,0,0
Res.3Sep.,0.008291584,0,0,0.06378955,0,0,0.126083136,0.008980077,85.374,635.44,4.715,26.5,0.291213367,8.04,0,0
Res.3Oct.,0.021766293,0,0.006653231,0.002465516,0.00150431,0.005057255,0.052546241,0.001325187,143.511,1669.7,5.884,21,0.226643854,8.45,0,0
Res.3Nov.,0.016760236,0.00153252,0.003971693,0,0.002620823,0.010420362,0.087851601,0.001286847,363.33,2277.97,12.743,20.4,0.083338136,7.44,0,0
Res.3Dec.,0.000511376,0,0,0,0.001005425,0.002268572,0.006735328,0,275.5,5010.41,20.87,13,0.001101689,7.94,0,0
Res.4Jan.,0.001427352,0.000690276,0,0,0.00274116,0.005568801,0.017759949,0,114.939,4652.3,9.183,16,NA,7.98,0,0
Res.4Feb.,0.001158454,0.000877306,0.004508687,0,0.003101517,0.01086953,0.036067794,0.000800646,0.973,3615.7,4.253,21,0.008027219,8.04,0,0
Res.4Mar.,0.014786425,0.001818143,0,0,0.004933516,0.01388741,0.062550033,0.00111317,2.598,1512.1,5.836,23,0.010807163,8.1,0,0
Res.4Apr.,0.027751479,0,0.001345031,0,0.003338556,0.007161837,0.038591995,0.000830945,62.36,895.554,3.727,25.5,0.022391975,8.26,0,0
Res.4May.,0.018072138,0,0,0,0.001906164,0,0.028872853,0.001191243,33.9705,28.7815,4.62,27.7,0.013871738,8.04,0,0
Res.4Jun.,0.0094583,0,0.000791754,0.002621096,0.001682753,0,0.028300242,0,11.179,1366.5,3.9665,28,0.174733175,7.4,0,0
Res.4Jul.,0.012708339,0,0,0.003266766,0.001403769,0.004826875,0.008601869,0.001688052,47.565,1339.3,5.0985,28.5,0.174012287,7.55,0,0
Res.4Aug.,0.008502909,0.00311962,0.003534051,0.002734945,0.005535199,0.017451512,0.018034821,0.002440242,156.8915,1819.9,6.6675,30.3,0.141614749,8.05,0,0
Res.4Oct.,0.007235529,0.001390184,0.003750845,0.000748352,0.003229938,0.009768465,0.029173918,0.000934906,31.859,1628.4,NA,25.7,0.440898066,8.05,0,0
Res.4Nov.,0.005088208,0,0.000648274,0,0.00168214,0.003411698,0.017732786,0.000332083,3.848,2652.3,8.288,23.2,0.001169123,8.26,0,0
Res.4Dec.,0.000997361,0,0,0,0.001783731,0.00346961,0.010910792,0.000237986,129.973,3959.3,17.408,15.9,0.000885113,7.9,0,0
Res.5Feb.,0.000548175,0,0,0,0.000947187,0.002157296,0.005989779,0,13.703,52.27,48.67,14.4,0.000529127,8.17,0,0
Res.5Mar.,0.001041533,0,0,0,0.001081529,0.001537013,0.009507329,0,37.0505,3705.05,32.004,18.7,0.174493319,8.17,0,0
Res.5Apr.,0.019241102,0,0,0.003088827,0.004415202,0.009957833,0.046288404,0.001127917,154.315,2096.95,4.4445,20.4,0.016051634,7.87,0,0
Res.5May.,0.020710528,0,0.001184233,0.000899359,0.002647311,0.005746382,0.044690914,0.000680617,28.3925,2839.25,3.361,28.2,0.033556888,8.56,0,0
Res.5Jun.,0.013270602,0,0,0.001959745,0.003372141,0.006088474,0.041796676,0,18.2545,2016.9,8.853,27,0.028692291,8.28,0,0
Res.5Jul.,0.008712328,0,0,0.001569939,0.002983167,0.007977029,0.041843027,0.001372047,20.458,1878.7,4.8935,27,0.097390929,7.85,0,0
Res.5Aug.,NA,NA,NA,NA,NA,NA,NA,NA,93.319,767.294,24.184,29.5,NA,7.6,0,0
Res.5Oct.,0.010293614,0,0.00757401,0.0008502,0.001956542,0.008170497,0.04620217,0.001839336,10.821,2626.45,9.474,27.9,0.143167479,8.15,0,0
Res.5Nov.,NA,NA,NA,NA,NA,NA,NA,NA,2949.2,2940.35,12.5905,22.6,0.148226203,8.39,0,0
Res.5Dec.,0.010416278,0,0,0,0.001374582,0.002101754,0.0097324,0.000271526,30.0405,5291.75,5.098,19,0.002802095,8.31,0,0
