input	filtered	denoised	merged	nochim	tabled
100	89670	36228	34183	30598	30229	30226
101	94930	48900	46850	42630	41853	41839
102	98513	56151	53418	48867	47984	47961
103	89962	58001	55875	51834	50783	50779
104	77953	53039	50909	46490	44804	44773
105	66687	36438	34414	31316	30964	30930
70	112061	107762	105175	99654	98807	98800
71	81010	78188	74626	68570	67653	67649
72	78516	75085	72452	67140	66282	66276
73	71116	68565	65877	61171	60448	60444
74	60348	57943	54735	49679	49120	49119
75	87022	83660	80989	75708	74718	74713
76	49040	46956	44953	41472	41260	41260
77	60653	58853	57063	53670	52327	52321
78	88818	84909	82028	76691	76048	76035
79	75719	73076	71330	68141	67542	67541
80	86817	83337	81930	79014	77667	77650
81	113528	108641	105458	99370	97808	97723
82	57743	55208	53311	50175	49945	49942
83	51471	49375	47335	43686	43564	43511
84	66212	63849	62171	59193	58820	58815
85	68350	65670	64407	61774	61119	61113
86	73696	70782	69304	66620	66023	65988
87	68821	66234	63721	60051	59653	59650
88	96374	93289	91955	87951	86091	86091
89	71858	69188	66905	62823	61588	61577
90	47407	45791	44340	42155	41885	41885
91	116561	111642	109157	103289	102579	102511
92	83202	80392	80005	76985	76419	76419
93	148088	143385	143050	137804	136132	136092
94	73634	71690	69898	67070	65975	65972
95	80460	77880	75031	69965	69280	69271
96	101944	98788	96069	91067	90409	90408
97	74174	71060	68621	64974	64429	64424
98	75893	73810	71839	68081	67628	67628
99	136893	131765	127772	119824	118575	118573
12	67361	58121	56230	45221	42789	42786
13	66350	58448	56256	45961	41380	41380
14	56442	46116	43298	32063	30985	30984
15	62004	54030	52065	41827	35866	35862
16	61984	51480	49701	40765	38760	38758
17	51351	45106	43686	35854	34244	34242
18	63883	56422	54816	44089	42443	42437
19	48651	40523	37651	28682	27632	27632
20	57735	45722	43224	32927	31624	31623
21	68593	58642	55730	43891	37495	37493
22	53875	45567	42637	32788	30267	30264
23	48852	41196	38587	30616	29829	29828
24	72213	63089	58941	48705	40985	40984
25	73114	63576	58735	47838	39994	39976
26	56833	47935	43446	32988	29299	29293
27	74366	63673	60760	47628	41857	41857
28	65420	53053	50306	37573	33009	32989
29	17615	14730	13404	8842	8161	8161
2	30266	25158	23555	17572	17337	17336
30	60131	48994	45969	31665	29065	29065
31	75958	66852	64478	53413	42012	42012
32	73156	64074	61453	49299	42873	42872
33	41300	33380	30954	22391	21150	21149
34	44612	37134	35011	26249	22669	22668
35	59088	51456	49549	40574	31122	31121
36	50665	43473	41948	35207	29279	29279
37	50888	44143	39687	30854	24417	24416
38	5169	4319	3618	2422	2068	2068
39	55322	46184	42357	30360	26733	26732
3	44721	35670	34245	27189	25464	25451
40	47918	40737	37261	27456	23404	23395
41	59867	49634	46657	35205	30696	30695
42	52073	44447	42222	32823	27742	27740
43	45259	37925	36040	26166	24004	24003
44	48329	40355	38730	31665	29726	29725
45	45898	39922	38191	30484	27114	27113
46	53425	45490	42081	30950	26308	26304
47	56300	45833	43663	30834	29127	29127
48	37531	29853	28174	19724	19174	19174
49	61181	47962	45849	33482	31001	30989
4	47872	39767	35901	26680	25704	25703
50	52226	41521	39597	29502	26999	26976
51	48902	38272	36021	24795	23475	23447
52	57079	49338	48157	40715	35678	35676
54	52537	42886	41167	31713	29265	29262
55	54571	45863	43950	34177	32348	32339
56	55271	46442	44591	35145	28661	28661
57	43842	36331	34248	26080	25323	25320
58	47823	39551	36945	27934	27223	27223
59	43501	36706	34367	25599	24047	24045
5	66887	56047	53655	42046	37787	37780
60	42761	35512	33101	24347	23418	23416
61	44922	37207	34864	25594	25053	25051
62	58045	39986	39216	30184	25223	25123
63	81199	70758	68557	55266	40625	40623
64	44119	36988	33565	23133	19107	19106
65	72735	56857	56581	52041	51728	51728
66	102002	87182	86833	71685	63561	63561
67	72171	58836	58213	53377	53277	53277
69	64756	55256	50692	38697	36696	36692
6	59276	49964	46910	34832	30309	30290
7	51268	42729	39629	26506	23841	23837
8	58320	48132	46218	36005	32799	32798
9	55516	46789	44779	36030	35360	35358
