,Sample_number_dada2,location,Season,Mic.Season,Month,Type,Year,Day,Comment,Run,Temp_degC,Ammonia_ug_L,NO3_NO2_N_L,TP_ug_L,O2_mg_L,pH,Chl_a_mg_L,Chl_b_mg_L,Fucoxanthin_mg_L,Dinoxanthin_mg_L,Diatoxanthin_mg_L,Zeaxanthin_mg_L,Lutein_mg_L,b_caroten_mg_L,MC_ug_L,Fish_biomass_Kg_pond,Food_Kg_pond,MC_treshold
X9,9,D1.,Winter,Wet,Feb,Fishpond,2013,11,No fish,1,13.6,96.968,65.377,108.385,9.72,8.24,0.001148479,0,0,0,0,0,9.29E-05,0,NA,,,
X8,8,D1.,Winter,Wet,Jan,Fishpond,2013,14,No fish,1,8.9,NA,0,NA,11.84,8.01,0.001592833,0,0.000314338,0,0,0,7.40E-05,0,NA,,,
X15,15,D1.,Autumn,Dry,Oct,Fishpond,2013,21,No fish,1,23,126.035,24.444,210.82,10.13,9.14,0.022058112,0.004959515,0.007697058,0,0.002204772,0.002610292,0.001539835,0.001474334,NA,,,
X13,13,D1.,Summer,Dry,Jun,Fishpond,2013,24,,1,28.5,127.484,392.3,23.352,3.02,7.72,0.076794318,0.007477984,0.07998779,0,0,0,0.00370764,0.001655992,NA,7803,139,
X12,12,D1.,Spring,Dry,May,Fishpond,2013,27,,1,25,157.198,61.998,398.12,5.22,7.77,0.027143586,0.001808477,0.015808414,0,0,0,0.001309483,0.000419774,NA,5029,113,
X14,14,D1.,Summer,Dry,Jul,Fishpond,2013,29,,1,31.4,2.55,115.756,1.994,4.09,7.43,0.035110825,0.002102522,0.005142835,0,0,0.002421084,0.001367007,0.001097113,NA,12402,167.93,
X21,21,D1.,Autumn,Dry,Oct,Fishpond,2014,6,No fish,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
X20,20,D1.,Summer,Dry,Aug,Fishpond,2014,13,,1,31.4,3.896,214.39,13.729,5,7.65,0.019279828,0,0.002695432,0,0,0.006664834,0,0.003923131,0.01,13814,181,
X69,69,D1.,Summer,Dry,Jun,Fishpond,2014,16,Fish mortality,1,30.5,93.582,283.69,9.946,5.28,7.89,0.003975939,0.002415787,0.005122576,0,0,0,0.001351286,0,NA,5464,127,
X19,19,D1.,Summer,Dry,Jul,Fishpond,2014,23,,1,29,884.3285,686.4715,6.663,3,7.85,0.005814346,0,0.003016393,0,0,0,0.002749163,0,0.1,10874,162,1
X25,25,Res.,Spring,Wet,Apr,Reservoir,2013,18,,1,16.5,43.09,1260.6,3.62,8.83,8.08,0.064076995,0.006512383,0.02408538,0,0,0,0.002778319,0.001000491,0.02,,,
X37,37,Res.,Spring,Wet,Apr,Reservoir,2014,30,,1,25.5,62.36,895.554,3.727,9.53,8.26,0.038591995,0.007161837,0.027751479,0,0.001345031,0,0.003338556,0.000830945,0.08,,,
X72,72,Res.,Spring,Wet,Apr,Reservoir,2015,7,,2,20.4,154.315,2096.95,4.4445,7.4,7.87,0.046288404,0.009957833,0.019241102,0,0,0.003088827,0.004415202,0.001127917,0.06,,,
X29,29,Res.,Summer,Dry,Aug,Reservoir,2013,27,,1,30,5.648,1777.8,3.294,5.45,7.63,0.049493085,0.00364386,0.011821513,0.000868196,0.001028839,0.002759998,0.001451328,0.000880345,NA,,,
