Filename	Sample_number
Daniel-1-1-PL-1-A1_S1_L001_R1_001.fastq	1_R1.fastq
Daniel-2-2-PL-1-A2_S2_L001_R1_001.fastq	2_R1.fastq
Daniel-3-3-PL-1-A3_S3_L001_R1_001.fastq	3_R1.fastq
Daniel-4-4-PL-1-A4_S4_L001_R1_001.fastq	4_R1.fastq
Daniel-5-5-PL-1-A5_S5_L001_R1_001.fastq	5_R1.fastq
Daniel-6-6-PL-1-A6_S6_L001_R1_001.fastq	6_R1.fastq
Daniel-7-7-PL-1-A7_S7_L001_R1_001.fastq	7_R1.fastq
Daniel-8-8-PL-1-A8_S8_L001_R1_001.fastq	8_R1.fastq
Daniel-9-9-PL-1-A9_S9_L001_R1_001.fastq	9_R1.fastq
Daniel-10-10-PL-1-A10_S10_L001_R1_001.fastq	10_R1.fastq
Daniel-11-11-PL-1-A11_S11_L001_R1_001.fastq	11_R1.fastq
Daniel-12-12-PL-1-A12_S12_L001_R1_001.fastq	12_R1.fastq
Daniel-13-13-PL-1-B1_S13_L001_R1_001.fastq	13_R1.fastq
Daniel-14-14-PL-1-B2_S14_L001_R1_001.fastq	14_R1.fastq
Daniel-15-15-PL-1-B3_S15_L001_R1_001.fastq	15_R1.fastq
Daniel-16-16-PL-1-B4_S16_L001_R1_001.fastq	16_R1.fastq
Daniel-17-17-PL-1-B5_S17_L001_R1_001.fastq	17_R1.fastq
Daniel-18-18-PL-1-B6_S18_L001_R1_001.fastq	18_R1.fastq
Daniel-19-19-PL-1-B7_S19_L001_R1_001.fastq	19_R1.fastq
Daniel-20-20-PL-1-B8_S20_L001_R1_001.fastq	20_R1.fastq
Daniel-21-21-PL-1-B9_S21_L001_R1_001.fastq	21_R1.fastq
Daniel-22-22-PL-1-B10_S22_L001_R1_001.fastq	22_R1.fastq
Daniel-23-23-PL-1-B11_S23_L001_R1_001.fastq	23_R1.fastq
Daniel-24-24-PL-1-B12_S24_L001_R1_001.fastq	24_R1.fastq
Daniel-25-25-PL-1-C1_S25_L001_R1_001.fastq	25_R1.fastq
Daniel-26-26-PL-1-C2_S26_L001_R1_001.fastq	26_R1.fastq
Daniel-27-27-PL-1-C3_S27_L001_R1_001.fastq	27_R1.fastq
Daniel-28-28-PL-1-C4_S28_L001_R1_001.fastq	28_R1.fastq
Daniel-29-29-PL-1-C5_S29_L001_R1_001.fastq	29_R1.fastq
