"","Sample","Year","Month","Season","Chl.sequences","Sequences","Observed","Chao1","Completness","Shannon","InvSimpson","Evenness"
"X22","X22","2013","Jan","Winter",10517,19747,236,237.25,99.47,4.59,52.95,0.84
"X23","X23","2013","Feb","Winter",7112,22716,279,290,96.21,4.84,75.24,0.86
"X24","X24","2013","Mar","Spring",26492,14481,207,208.25,99.4,4.58,48.09,0.86
"X25","X25","2013","Apr","Spring",23546,16416,272,278.875,97.53,4.83,63.24,0.86
"X26","X26","2013","May","Spring",15272,14021,244,251.2,97.13,4.94,91.26,0.9
"X27","X27","2013","Jun","Summer",27809,14048,226,253.5,89.15,4.93,99.68,0.91
"X28","X28","2013","Jul","Summer",7827,25162,168,169.2,99.29,2.61,4.47,0.51
"X29","X29","2013","Aug","Summer",5228,2933,71,71,100,3.86,34.18,0.91
"X30","X30","2013","Sep","Autumn",6265,22777,267,268,99.63,4.62,43.16,0.83
"X31","X31","2013","Oct","Autumn",32630,9370,168,177.333333333333,94.74,4.61,64.41,0.9
"X32","X32","2013","Nov","Autumn",32202,10670,199,217,91.71,4.79,79.6,0.9
"X33","X33","2013","Dec","Winter",4208,16941,213,216.75,98.27,4.55,55.05,0.85
"X34","X34","2014","Jan","Winter",14017,8651,144,146.142857142857,98.53,4.36,53.52,0.88
"X35","X35","2014","Feb","Winter",23229,7890,144,144.6,99.59,4.26,37.09,0.86
"X36","X36","2014","Mar","Spring",23963,5316,105,106,99.06,4.05,32.44,0.87
"X37","X37","2014","Apr","Spring",15497,8894,171,178.5,95.8,4.62,68.88,0.9
"X38","X38","2014","May","Spring",1532,536,16,16,100,2.1,5.66,0.76
"X39","X39","2014","Jun","Summer",14169,12563,214,215.111111111111,99.48,4.83,79.64,0.9
"X40","X40","2014","Jul","Summer",15699,7680,165,165.6,99.64,4.53,49.23,0.89
"X41","X41","2014","Aug","Summer",20408,10111,193,212.5,90.82,4.55,47.97,0.86
"X42","X42","2014","Oct","Autumn",17760,9936,203,205,99.02,4.79,78.01,0.9
"X58","X58","2014","Dec","Winter",6559,20664,243,254,95.67,4.73,74.98,0.86
"X103","X103","2015","Dec","Winter",23078,27697,329,329.090909090909,99.97,4.74,53.11,0.82
"X105","X105","2015","Nov","Autumn",12076,18828,287,287.6,99.79,4.72,53.12,0.83
"X71","X71","2015","Jan","Winter",15935,51707,561,573,97.91,5.04,70.26,0.8
"X72","X72","2015","Apr","Spring",30535,35734,526,529.666666666667,99.31,5.38,108.91,0.86
"X73","X73","2015","May","Spring",30333,30099,593,601.272727272727,98.62,5.73,186.29,0.9
"X74","X74","2015","Jun","Summer",23745,25149,550,567,97,5.61,150.9,0.89
"X75","X75","2015","Jul","Summer",42873,31020,482,485.111111111111,99.36,5.36,109.72,0.87
"X76","X76","2015","Aug","Summer",17735,23498,409,410.666666666667,99.59,5.15,64.57,0.86
"X77","X77","2015","Oct","Autumn",37893,14333,320,322.5,99.22,4.99,69.4,0.87
"X96","X96","2015","Mar","Spring",31510,58885,538,541,99.45,5.08,80.36,0.81
