"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","ASV"
"ASV21",812.743292616576,-6.10465218298464,1.19308893197335,3.74737268068159e-06,"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis PCC-7914","ASV21"
"ASV24",59.9325501116368,-25.4316177202416,2.29201000398948,4.67558139107952e-26,"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Planktothricoides SR001","ASV24"
"ASV34",179.077089725219,-11.0908875568893,1.63383723515202,1.52269002842645e-10,"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Planktothrix NIVA-CYA 15","ASV34"
"ASV41",41.7388837108325,-25.1414091764562,2.65676750707117,2.36037836370282e-19,"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Planktothricoides SR001","ASV41"
"ASV71",180.827263358374,-9.43003591205338,1.59103257962178,4.06238702380107e-08,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Haliscomenobacter","ASV71"
"ASV159",24.773122399348,-8.23731961502964,1.57200836823596,1.96847633085181e-06,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","ASV159"
"ASV181",64.1956589059764,-5.20693274380516,1.59712810588894,0.0105549989461697,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","ASV181"
"ASV185",48.5001673373018,-9.20594175432552,1.9526674152031,2.87065562491683e-05,"Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcaceae_uncl","ASV185"
"ASV202",87.6161876249686,-3.34056870366575,1.37485306566383,0.0967770315114637,"Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004","ASV202"
"ASV220",12.5037165167747,-7.24980269486815,2.10692573347739,0.00572453198885434,"Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","ASV220"
"ASV225",38.4652094685154,-8.87186259762891,2.12974581082429,0.000350321144008934,"Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307","ASV225"
"ASV227",48.0490638497548,-9.19300634859799,1.62818132138868,2.08286416201842e-07,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","ASV227"
"ASV238",90.958345602702,-25.878908296288,2.25341028636547,1.12448933656264e-27,"Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis PCC-7914","ASV238"
