"","Sample_number_dada2","location","comment","Fucoxanthin_mg_L","Dinoxanthin_mg_L","Diatoxanthin_mg_L","Zeaxanthin_mg_L","Lutein_mg_L","Chl_b_mg_L","Chl_a_mg_L","b_caroten_mg_L","Ammonia_ug_L","NO3_NO2_N_L","TP_ug_L","Temp_degC","Fish_biomass_g_pond","Food_Kg_pond","MC_ug_L","O2_mg_L","pH","Run","Season","Mic.Season","Month","Type","Year","Day"
"X12",12,"D1.","0","0.015808414","0","0","0","0.001309483","0.001808477","0.027143586","0.000419774","157.198","61.998","398.12","25","5028.981","113.412",NA,"5.22","7.77",1,"Spring","Dry","May","Fishpond","2013",27
"X13",13,"D1.","0","0.07998779","0","0","0","0.00370764","0.007477984","0.076794318","0.001655992","127.484","392.3","23.352","28.5","7803.2574","139.3064",NA,"3.02","7.72",1,"Summer","Dry","Jun","Fishpond","2013",24
"X14",14,"D1.","0","0.005142835","0","0","0.002421084","0.001367007","0.002102522","0.035110825","0.001097113","2.55","115.756","1.994","31.4","12401.8269","167.9259",NA,"4.09","7.43",1,"Summer","Dry","Jul","Fishpond","2013",29
"X15",15,"D1.","0","0.007697058","0","0.002204772","0.002610292","0.001539835","0.004959515","0.022058112","0.001474334","126.035","24.444","210.82","23","0","0",NA,"10.13","9.14",1,"Autumn","Dry","Oct","Fishpond","2013",21
"X16",16,"D1.","0","0.015049549","0.002651707","0","0","0.007081092","0.01841661","0.071373955","0.001188212","0","56.37","27.87","22.4","4101.2255","104.40162",NA,"6.7","8.53",1,"Spring","Wet","Mar","Fishpond","2014",30
"X17",17,"D1.","0","0.022201564","0","0","0","0.000671713","0","0.037702057","0","171.299","3.432","13.2325","27","4247.685","134.2137",NA,"5.7","8.25",1,"Spring","Wet","Apr","Fishpond","2014",30
"X18",18,"D1.","D1n2","0.023829501","0","0","0.000735495","0.001029864","0.002157872","0.019997729","0","28.973","14.194","29.2215","28.5","4510.9746","149.84106",NA,"4.98","7.7",1,"Spring","Dry","May","Fishpond","2014",28
"X19",19,"D1.","0","0.003016393","0","0","0","0.002749163","0","0.005814346","0","884.3285","686.4715","6.663","29","10874.277","192.19722","3.18E-07","3","7.85",1,"Summer","Dry","Jul","Fishpond","2014",23
"X20",20,"D1.","0","0.002695432","0","0","0.006664834","0","0","0.019279828","0.003923131","3.896","214.39","13.729","31.4","13814.25","225.4797","6.33E-09","5","7.65",1,"Summer","Dry","Aug","Fishpond","2014",13
"X21",21,"D1.","duplicate batch 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA,1,"Autumn","Dry","Oct","Fishpond","2014",6
