"","Year","Month","Class","Order","Family","Genus","Species","D1.","Res.","V2."
"1","2013","Jan","Alphaproteobacteria","Micavibrionales","Micavibrionales_uncl","Micavibrionales_uncl","Micavibrionales_uncl",0.0161779575328615,NA,NA
"2","2013","Jan","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI cluster","alphaI cluster_uncl",0.250758341759353,NA,NA
"3","2013","Jan","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_uncl",0.137512639029323,NA,NA
"4","2013","Jan","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","Tabrizicola_uncl",0.16582406471183,NA,NA
"5","2013","Jan","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas","Blastomonas_uncl",0.145601617795753,NA,NA
"6","2013","Jan","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter","sanguineus",0.133468149646107,NA,NA
"7","2013","Jan","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania","Qipengyuania_uncl",0.16582406471183,NA,NA
"8","2013","Jan","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_uncl",0.335692618806876,NA,NA
"9","2013","Jan","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus_uncl",0.0687563195146613,NA,0.174572085497743
"10","2013","Jan","Bacteroidia","Sphingobacteriales","env.OPS 17","env.OPS 17_uncl","env.OPS 17_uncl",0.0404448938321537,0.21775459563478,NA
"11","2013","Jan","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","NS11-12 marine group_uncl",0.0202224469160768,NA,NA
"12","2013","Jan","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_uncl",0.157735085945399,0.820377778903124,0.0510942689261688
"13","2013","Jan","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae_uncl","Sphingobacteriaceae_uncl",0.0364004044489383,NA,NA
"14","2013","Jan","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter_uncl",0.137512639029323,NA,NA
"15","2013","Jan","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","Rheinheimera_uncl",0.222446916076845,NA,0.0894149706207954
"16","2013","Jan","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","thiooxidans",1.29423660262892,NA,NA
"17","2013","Jan","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter_uncl",0.00808897876643074,NA,NA
"18","2013","Jan","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_uncl","Comamonadaceae_uncl",0.198179979777553,0.156985871271586,0.119219960827727
"19","2013","Jan","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Methylibium","Methylibium_uncl",0.424671385237614,NA,NA
"20","2013","Jan","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","Rhizobacter_uncl",0.315470171890799,NA,NA
"21","2013","Jan","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","Methylotenera_uncl",0.145601617795753,NA,NA
"22","2013","Jan","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_uncl",0.0364004044489383,NA,0.0085157114876948
"23","2013","Jan","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_uncl",0.00808897876643074,NA,0.0085157114876948
"24","2013","Jan","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_uncl",0.473205257836198,NA,0.0553521246700162
"25","2013","Jan","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_uncl",0.242669362992922,NA,NA
"26","2013","Jan","Gracilibacteria","Gracilibacteria_uncl","Gracilibacteria_uncl","Gracilibacteria_uncl","Gracilibacteria_uncl",0.0202224469160768,NA,NA
"27","2013","Jan","Oligoflexia","0319-6G20","0319-6G20_uncl","0319-6G20_uncl","0319-6G20_uncl",0.0202224469160768,NA,NA
"28","2013","Jan","Parcubacteria","Candidatus Nomurabacteria","Candidatus Nomurabacteria_uncl","Candidatus Nomurabacteria_uncl","Candidatus Nomurabacteria_uncl",0.0161779575328615,NA,0.063867836157711
"29","2013","Feb","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia","Iamia_uncl",0.0253148534902854,NA,NA
"30","2013","Feb","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group","CL500-29 marine group_uncl",0.360736662236567,NA,NA
"31","2013","Feb","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Paracaedibacter","Candidatus Paracaedibacter_uncl",0.0316435668628568,NA,NA
"32","2013","Feb","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI cluster","alphaI cluster_uncl",0.249984178216569,NA,NA
"33","2013","Feb","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_uncl",0.079108917157142,NA,NA
"34","2013","Feb","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_uncl",0.098095057274856,NA,0.154231072420057
"35","2013","Feb","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","sediminis",0.0379722802354281,NA,NA
"36","2013","Feb","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter","Erythrobacter_uncl",0.132902980823998,NA,NA
"37","2013","Feb","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter","sanguineus",0.0759445604708563,NA,NA
"38","2013","Feb","Anaerolineae","SBR1031","A4b","A4b_uncl","A4b_uncl",0.0158217834314284,NA,NA
"39","2013","Feb","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus_uncl",0.398708942471995,NA,0.0959660006169243
"40","2013","Feb","Bacteroidia","Cytophagales","Spirosomaceae","Lacihabitans","soyangensis",0.0348079235491425,NA,NA
"41","2013","Feb","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomicaceae_uncl","Crocinitomicaceae_uncl",0.0348079235491425,NA,NA
"42","2013","Feb","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola_uncl",0.996772356179989,NA,NA
"43","2013","Feb","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_uncl",0.189861401177141,NA,0.0479830003084621
"44","2013","Feb","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Mariniflexile","Mariniflexile_uncl",0.174039617745712,NA,NA
"45","2013","Feb","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Myroides","Myroides_uncl",0.0727802037845706,NA,NA
"46","2013","Feb","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_uncl",0.0506297069805709,NA,NA
"47","2013","Feb","Bacteroidia","Sphingobacteriales","env.OPS 17","env.OPS 17_uncl","env.OPS 17_uncl",0.0411366369217138,NA,NA
"48","2013","Feb","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","NS11-12 marine group_uncl",0.386051515726853,0.198098256735341,NA
